county,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Alameda,393749,472277,159499,4131,540511,13209,10440,88537
Butte,40112,139651,3320,3050,10333,508,1184,13474
Contra Costa,314900,455421,97994,2553,214520,5720,8366,66453
El Dorado,26459,140141,1436,1273,9024,276,1215,11361
Fresno,540743,271889,44295,6074,109665,1233,5209,29546
Humboldt,18535,93316,1729,7454,3495,436,1091,10407
Imperial,153027,16813,3846,1584,2244,82,519,1587
Kern,499158,279600,46776,5197,44257,1127,4557,28563
Kings,86607,44361,8300,1690,5511,331,713,4973
Lake,15442,44202,1158,1737,940,89,386,4209
Los Angeles,4804763,2563609,760689,18453,1474237,20522,58683,313053
Madera,93178,48399,4131,1738,3581,122,723,4383
Marin,49410,173149,6120,555,16175,457,2040,14415
Mendocino,23933,56205,607,3528,1730,110,592,4896
Merced,173857,68729,8191,1164,19824,617,1242,7578
Monterey,265321,120077,9051,1314,25123,1859,2170,14120
Napa,48829,68909,2300,507,10520,316,910,5728
Nevada,10416,82810,416,695,1371,119,617,5797
Orange,1086834,1198655,49304,5298,699124,7714,14818,125242
Placer,60628,272471,6440,2010,34776,967,2091,25356
Riverside,1202295,788235,146762,11960,164889,6767,12365,84912
Sacramento,374434,650271,145724,7432,276295,18011,10104,102784
San Bernardino,1170913,566113,173322,8412,176204,6173,12117,68400
San Diego,1119629,1422205,145014,12841,400589,12991,18125,167240
San Francisco,136761,341306,45071,1570,294220,3244,6347,45446
San Joaquin,325725,215530,56898,3135,134684,4977,4192,34092
San Luis Obispo,67921,183468,4330,1136,10001,340,1614,13614
San Mateo,191386,275902,14701,1021,227783,8840,5840,38969
Santa Barbara,210584,184746,6467,1731,25378,542,2378,16403
Santa Clara,487357,555708,42148,3240,753399,5945,10195,78267
Santa Cruz,94299,145551,2850,853,12072,277,1649,13310
Shasta,19730,136894,1761,4047,5839,323,1037,12524
Solano,128155,155125,60051,1624,70953,3775,2988,30820
Sonoma,141438,285792,7125,3053,22239,1708,2909,24599
Stanislaus,265978,207908,14302,2621,33169,3713,2734,22453
Sutter,31568,41366,1774,862,18014,279,611,5159
Tulare,309895,125022,5332,3458,15997,511,2132,10770
Ventura,365285,360850,13704,2020,63252,1415,4451,32866
Yolo,71700,93911,5722,948,29872,1079,1278,11893
Yuba,23520,41750,2831,1034,5583,372,459,6026
